 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
  SEQ =    1 TIME SLICE  0.0000E+00
  PROCESSING INPUT.quasr65579_12-50-201
  THIS IS PARVMEC (PARALLEL VMEC), VERSION 10.0
  Lambda: Full Radial Mesh. L-Force: hybrid full/half.

  COMPUTER: demo-host   OS: GNU/Linux   RELEASE: 7.0.0-27-generic  DATE = Jul 21,2026  TIME = 12:43:02
  Opening vacuum field file: mgrid_quasr0065579.nc
  Time to read MGRID file:   1.61E-02 s

  NS =   12 NO. FOURIER MODES =   72 FTOLV =  1.000E-09 NITER =   3000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ

    1  3.55E+00  2.48E+00  1.64E-01  1.042E+00  9.00E-01  5.0770E-01  1.000E+00
    2  1.08E+01  2.20E+01  1.30E-01  1.021E+00  9.00E-01  4.3809E-01  1.000E+00
    3  1.37E+01  3.80E+01  1.94E-01  9.945E-01  9.00E-01  4.2616E-01  1.000E+00
    4  1.12E+03  2.60E+02  7.81E-01  9.883E-01  9.00E-01  4.6075E-01  1.000E+00
    5  3.55E+00  2.48E+00  1.64E-01  1.042E+00  8.10E-01  5.0770E-01  1.000E+00
    6  4.97E+00  1.05E+01  1.13E-01  1.025E+00  8.10E-01  4.4526E-01  1.000E+00
    7  2.74E+00  1.03E+01  5.97E-02  1.002E+00  8.10E-01  4.1064E-01  1.000E+00
    8  1.24E+01  4.88E+01  9.12E-02  9.859E-01  8.10E-01  4.1863E-01  1.000E+00
    9  3.55E+00  2.48E+00  1.64E-01  1.042E+00  7.29E-01  5.0770E-01  1.000E+00
   10  2.10E+00  4.76E+00  1.06E-01  1.028E+00  7.29E-01  4.5297E-01  1.000E+00
   11  2.58E+00  2.26E+00  5.79E-02  1.009E+00  7.29E-01  4.1368E-01  1.000E+00
   12  3.35E+00  9.17E+00  5.93E-02  9.913E-01  7.29E-01  4.0968E-01  1.000E+00
   15  8.09E-01  1.94E+00  1.06E-01  1.031E+00  6.56E-01  4.6053E-01  1.000E+00
   20  4.56E+00  2.13E+01  8.29E-02  9.812E-01  6.56E-01  4.3016E-01  1.000E+00
   25  3.55E+00  2.48E+00  1.64E-01  1.042E+00  6.37E-01  5.0770E-01  1.000E+00
   30  1.46E+00  2.81E+00  5.46E-02  9.813E-01  6.37E-01  4.2157E-01  1.000E+00
   35  2.30E+00  1.85E+01  4.61E-02  1.013E+00  6.37E-01  4.0350E-01  1.000E+00
   40  1.27E+00  7.51E+00  4.51E-02  1.008E+00  6.37E-01  4.0337E-01  1.000E+00
   45  1.09E+00  5.69E+00  2.14E-02  1.004E+00  6.37E-01  3.9815E-01  1.000E+00
   50  4.75E-01  2.37E+00  1.31E-02  1.009E+00  6.37E-01  3.9568E-01  1.000E+00
   55  4.74E+01  1.52E+02  2.66E-01  1.006E+00  6.37E-01  4.0726E-01  1.000E+00
   60  3.53E-01  8.93E-01  2.72E-03  1.005E+00  5.73E-01  3.9446E-01  1.000E+00
