need to flip theta definition of input boundary shape

 NS = 8   NO. FOURIER MODES = 72   FTOLV = 1.000e-09   NITER = 3000

 ITER |    FSQR     FSQZ     FSQL    |    fsqr     fsqz      fsql   |   DELT   |  RAX(v=0) |    W_MHD   |   <BETA>   |  <M>  |  DELBSQ
------+------------------------------+------------------------------+----------+-----------+------------+------------+-------+----------
 INITIAL JACOBIAN CHANGED SIGN!
 TRYING TO IMPROVE INITIAL MAGNETIC AXIS GUESS
    1 | 4.24e-02  3.42e-02  5.12e-02 | 2.87e-04  4.46e-04  3.68e-03 | 9.00e-01 | 1.079e+00 | 8.4499e-02 | 0.0000e+00 | 1.238 | 0.000e+00
    2 | 2.87e-02  3.13e-02  1.94e-02 | 4.42e-05  1.25e-04  7.84e-04 | 9.00e-01 | 1.080e+00 | 8.2833e-02 | 0.0000e+00 | 1.239 | 0.000e+00
    3 | 3.99e-02  1.33e-02  1.03e-02 | 7.75e-05  3.00e-04  1.09e-03 | 9.00e-01 | 1.082e+00 | 8.2554e-02 | 0.0000e+00 | 1.242 | 0.000e+00
    4 | 5.52e-02  2.13e-02  3.12e-02 | 1.45e-04  3.53e-04  2.14e-03 | 9.00e-01 | 1.084e+00 | 8.3232e-02 | 0.0000e+00 | 1.244 | 0.000e+00
    5 | 3.86e-02  1.18e-02  2.82e-02 | 7.74e-05  1.72e-04  1.57e-03 | 9.00e-01 | 1.085e+00 | 8.3263e-02 | 0.0000e+00 | 1.245 | 0.000e+00
    6 | 2.75e-02  1.05e-02  1.31e-02 | 5.66e-05  2.80e-04  1.16e-03 | 9.00e-01 | 1.084e+00 | 8.2801e-02 | 0.0000e+00 | 1.244 | 0.000e+00
    7 | 2.83e-02  8.61e-03  8.06e-03 | 2.28e-05  1.54e-04  1.13e-03 | 9.00e-01 | 1.082e+00 | 8.2462e-02 | 0.0000e+00 | 1.240 | 0.000e+00
