 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
  SEQ =    1 TIME SLICE  0.0000E+00
  PROCESSING INPUT.w7x_768
  THIS IS PARVMEC (PARALLEL VMEC), VERSION 10.0
  Lambda: Full Radial Mesh. L-Force: hybrid full/half.

  COMPUTER: demo-host   OS: GNU/Linux   RELEASE: 7.0.0-27-generic  DATE = Jul 21,2026  TIME = 14:28:16
  Opening vacuum field file: mgrid_w7x.nc
  Time to read MGRID file:   6.79E-02 s

  NS =    8 NO. FOURIER MODES =  288 FTOLV =  1.000E-11 NITER =   4000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ

    1  6.75E-01  2.30E-01  1.22E-01  5.986E+00  1.00E+00  7.3885E+01  1.000E+00
    2  1.52E+00  7.74E-01  3.61E-02  5.972E+00  1.00E+00  7.1051E+01  1.000E+00
    3  5.01E+00  2.01E+00  1.63E-01  5.957E+00  1.00E+00  7.2794E+01  1.000E+00
    4  1.89E+01  6.68E+00  6.04E-01  5.983E+00  1.00E+00  7.4097E+01  1.000E+00
    5  6.75E-01  2.41E-01  1.22E-01  5.986E+00  9.00E-01  7.3885E+01  1.000E+00
    6  8.68E-01  4.24E-01  2.92E-02  5.975E+00  9.00E-01  7.1054E+01  1.000E+00
    7  1.01E+00  3.98E-01  6.29E-02  5.961E+00  9.00E-01  7.1842E+01  1.000E+00
    8  6.84E-01  3.03E-01  6.54E-02  5.968E+00  9.00E-01  7.2296E+01  1.000E+00
    9  2.85E-01  1.34E-01  3.66E-02  5.976E+00  9.00E-01  7.1558E+01  1.000E+00
   10  2.67E-01  9.86E-02  3.75E-02  5.982E+00  9.00E-01  7.1363E+01  1.000E+00
   11  5.01E-01  2.15E-01  4.48E-02  5.982E+00  9.00E-01  7.1436E+01  1.000E+00
   12  6.79E-01  3.51E-01  3.26E-02  5.974E+00  9.00E-01  7.1058E+01  1.000E+00
   15  1.81E-01  9.69E-02  3.23E-02  5.972E+00  9.00E-01  7.0953E+01  1.000E+00
   20  1.39E-01  7.64E-02  1.88E-02  5.977E+00  9.00E-01  7.0658E+01  1.000E+00
   25  7.88E-02  3.58E-02  1.21E-02  5.977E+00  9.00E-01  7.0564E+01  1.000E+00
   30  4.10E-02  1.67E-02  8.69E-03  5.977E+00  9.00E-01  7.0508E+01  1.000E+00
   35  5.12E-02  2.01E-02  4.36E-03  5.982E+00  9.00E-01  7.0480E+01  1.000E+00
   40  1.69E-02  8.95E-03  2.00E-03  5.982E+00  9.00E-01  7.0465E+01  1.000E+00
   45  9.18E-03  3.77E-03  1.23E-03  5.984E+00  9.00E-01  7.0459E+01  1.000E+00
   50  8.76E-03  2.97E-03  7.11E-04  5.986E+00  9.00E-01  7.0456E+01  1.000E+00
   55  1.68E-03  8.92E-04  3.63E-04  5.986E+00  9.00E-01  7.0453E+01  1.000E+00
   60  1.87E-03  7.33E-04  1.88E-04  5.987E+00  9.00E-01  7.0452E+01  1.000E+00
   65  6.30E-04  2.57E-04  9.93E-05  5.988E+00  9.00E-01  7.0451E+01  1.000E+00

  In VACUUM, np =  5  mf = 13  nf = 12 nu = 30  nv =   36
  2*pi * a * -BPOL(vac) =   1.76E-06 TOROIDAL CURRENT =  -1.86E-15
  R * BTOR(vac) =  -1.37E+01 R * BTOR(plasma) =  -1.37E+01

  VACUUM PRESSURE TURNED ON AT   66 ITERATIONS

   70  2.66E+01  1.85E+01  5.22E-01  5.988E+00  9.00E-01  7.2930E+01  2.094E-01
   75  5.22E+00  6.15E+00  4.12E-02  5.990E+00  8.10E-01  7.1653E+01  9.361E-02
   80  4.17E-02  6.08E-02  2.57E-03  5.987E+00  7.29E-01  7.0387E+01  2.452E-02
   85  2.84E-01  6.13E-01  2.72E-03  5.988E+00  7.29E-01  7.1100E+01  3.774E-02
   90  2.32E-02  4.70E-02  6.77E-03  5.987E+00  7.08E-01  7.0416E+01  3.455E-02
   95  1.03E-02  1.94E-02  2.51E-03  5.988E+00  7.08E-01  7.0353E+01  2.769E-02
  100  4.43E-03  5.46E-03  1.08E-03  5.989E+00  7.08E-01  7.0454E+01  2.129E-02
  105  1.94E-03  1.78E-03  6.96E-04  5.989E+00  7.08E-01  7.0527E+01  1.563E-02
  110  7.79E-04  1.14E-03  2.69E-04  5.990E+00  7.08E-01  7.0441E+01  1.097E-02
  115  5.46E-04  8.97E-04  1.45E-04  5.990E+00  7.08E-01  7.0488E+01  6.742E-03
  120  3.85E-04  6.04E-04  8.32E-05  5.990E+00  7.08E-01  7.0431E+01  5.671E-03
  125  2.15E-04  3.38E-04  3.74E-05  5.990E+00  7.08E-01  7.0464E+01  4.362E-03
  130  1.36E-04  1.79E-04  2.04E-05  5.991E+00  7.08E-01  7.0459E+01  3.470E-03
  135  5.68E-05  7.75E-05  1.17E-05  5.991E+00  7.08E-01  7.0455E+01  2.738E-03
  140  2.28E-05  2.95E-05  6.38E-06  5.991E+00  7.08E-01  7.0449E+01  2.328E-03
  145  1.11E-05  1.34E-05  2.80E-06  5.991E+00  7.08E-01  7.0453E+01  1.927E-03
  150  4.90E-06  4.25E-06  1.44E-06  5.991E+00  7.08E-01  7.0452E+01  1.862E-03
  155  2.64E-06  1.95E-06  8.28E-07  5.992E+00  7.08E-01  7.0450E+01  1.735E-03
  160  1.23E-06  8.97E-07  4.86E-07  5.992E+00  7.08E-01  7.0452E+01  1.694E-03
  165  7.12E-07  6.83E-07  3.39E-07  5.992E+00  7.08E-01  7.0450E+01  1.633E-03
  170  5.05E-07  4.73E-07  2.56E-07  5.992E+00  7.08E-01  7.0451E+01  1.616E-03
  175  3.54E-07  3.22E-07  1.91E-07  5.992E+00  7.08E-01  7.0451E+01  1.587E-03
  180  2.46E-07  2.49E-07  1.58E-07  5.993E+00  7.08E-01  7.0450E+01  1.570E-03
  185  1.95E-07  1.54E-07  1.37E-07  5.993E+00  7.08E-01  7.0450E+01  1.551E-03
  190  1.59E-07  1.16E-07  1.19E-07  5.993E+00  7.08E-01  7.0450E+01  1.530E-03
  195  1.24E-07  7.59E-08  1.04E-07  5.993E+00  7.08E-01  7.0450E+01  1.511E-03
  200  1.01E-07  5.67E-08  8.80E-08  5.994E+00  7.08E-01  7.0449E+01  1.493E-03
  205  8.38E-08  3.99E-08  7.27E-08  5.994E+00  7.08E-01  7.0449E+01  1.479E-03
  210  7.76E-08  3.11E-08  5.90E-08  5.994E+00  7.08E-01  7.0449E+01  1.461E-03
  215  6.24E-08  2.81E-08  4.80E-08  5.995E+00  7.08E-01  7.0448E+01  1.451E-03
  220  5.13E-08  2.51E-08  4.03E-08  5.995E+00  7.08E-01  7.0448E+01  1.437E-03
  225  4.50E-08  2.04E-08  3.14E-08  5.996E+00  7.08E-01  7.0448E+01  1.428E-03
  230  3.88E-08  1.68E-08  2.63E-08  5.996E+00  7.08E-01  7.0448E+01  1.421E-03
  235  3.21E-08  1.49E-08  2.26E-08  5.997E+00  7.08E-01  7.0447E+01  1.417E-03
