
 NS = 8   NO. FOURIER MODES = 288   FTOLV = 1.000e-11   NITER = 4000

 ITER |    FSQR     FSQZ     FSQL    |    fsqr     fsqz      fsql   |   DELT   |  RAX(v=0) |    W_MHD   |   <BETA>   |  <M>  |  DELBSQ
------+------------------------------+------------------------------+----------+-----------+------------+------------+-------+----------
    1 | 8.16e-01  2.29e-01  1.22e-01 | 6.84e-04  6.90e-04  1.03e-02 | 1.00e+00 | 5.986e+00 | 7.3885e+01 | 3.8228e-02 | 1.343 | 0.000e+00
    2 | 1.51e+00  7.80e-01  3.46e-02 | 1.52e-04  4.27e-04  5.47e-04 | 1.00e+00 | 5.972e+00 | 7.1214e+01 | 3.8265e-02 | 1.359 | 0.000e+00
    3 | 5.09e+00  1.92e+00  1.61e-01 | 1.08e-03  1.51e-03  5.58e-03 | 1.00e+00 | 5.957e+00 | 7.3014e+01 | 3.7095e-02 | 1.362 | 0.000e+00
    4 | 2.00e+01  6.24e+00  6.88e-01 | 1.67e-03  3.49e-03  5.92e-03 | 1.00e+00 | 5.986e+00 | 7.4476e+01 | 3.6726e-02 | 1.359 | 0.000e+00
    5 | 8.16e-01  2.39e-01  1.22e-01 | 6.84e-04  6.92e-04  1.03e-02 | 9.00e-01 | 5.986e+00 | 7.3885e+01 | 3.8228e-02 | 1.343 | 0.000e+00
    6 | 8.69e-01  4.31e-01  2.75e-02 | 1.01e-04  2.32e-04  7.83e-04 | 9.00e-01 | 5.975e+00 | 7.1134e+01 | 3.8552e-02 | 1.356 | 0.000e+00
    7 | 1.08e+00  3.87e-01  6.05e-02 | 4.54e-04  5.46e-04  3.09e-03 | 9.00e-01 | 5.961e+00 | 7.2063e+01 | 3.7619e-02 | 1.361 | 0.000e+00
    8 | 7.75e-01  2.81e-01  6.57e-02 | 2.53e-04  4.72e-04  4.30e-03 | 9.00e-01 | 5.970e+00 | 7.2400e+01 | 3.7651e-02 | 1.360 | 0.000e+00
    9 | 3.42e-01  1.33e-01  3.51e-02 | 6.66e-05  9.38e-05  2.44e-03 | 9.00e-01 | 5.977e+00 | 7.1588e+01 | 3.8740e-02 | 1.352 | 0.000e+00
   10 | 4.52e-01  1.19e-01  4.08e-02 | 1.03e-04  1.78e-04  1.58e-03 | 9.00e-01 | 5.981e+00 | 7.1413e+01 | 3.9517e-02 | 1.344 | 0.000e+00
   11 | 7.46e-01  2.70e-01  4.81e-02 | 1.45e-04  3.56e-04  1.88e-03 | 9.00e-01 | 5.980e+00 | 7.1465e+01 | 3.9803e-02 | 1.339 | 0.000e+00
   12 | 9.19e-01  4.31e-01  3.68e-02 | 5.49e-05  1.91e-04  1.15e-03 | 9.00e-01 | 5.973e+00 | 7.1092e+01 | 3.9913e-02 | 1.339 | 0.000e+00
   15 | 2.93e-01  1.06e-01  3.81e-02 | 2.78e-05  1.17e-04  7.41e-04 | 9.00e-01 | 5.973e+00 | 7.1018e+01 | 3.9021e-02 | 1.351 | 0.000e+00
   20 | 2.28e-01  9.73e-02  1.98e-02 | 1.55e-05  3.19e-05  3.15e-04 | 9.00e-01 | 5.978e+00 | 7.0665e+01 | 3.9761e-02 | 1.627 | 0.000e+00
   25 | 1.38e-01  5.51e-02  1.25e-02 | 6.53e-06  1.58e-05  9.39e-05 | 9.00e-01 | 5.977e+00 | 7.0563e+01 | 3.9760e-02 | 1.656 | 0.000e+00
   30 | 5.49e-02  2.20e-02  8.79e-03 | 5.14e-06  8.41e-06  3.07e-05 | 9.00e-01 | 5.977e+00 | 7.0506e+01 | 3.9723e-02 | 1.658 | 0.000e+00
   35 | 4.46e-02  1.41e-02  4.10e-03 | 3.04e-06  4.78e-06  1.80e-05 | 9.00e-01 | 5.983e+00 | 7.0480e+01 | 3.9802e-02 | 1.634 | 0.000e+00
   40 | 2.02e-02  7.24e-03  2.03e-03 | 7.84e-07  6.91e-07  7.80e-06 | 9.00e-01 | 5.983e+00 | 7.0465e+01 | 3.9808e-02 | 1.623 | 0.000e+00
